director,rating_promedio,cantidad_peliculas
Hayao Miyazaki,8.05,4
Sergio Leone,7.933333333333333,3
Billy Wilder,7.833333333333333,3
Christopher Nolan,7.8,8
Pete Docter,7.733333333333333,3
Stanley Kubrick,7.683333333333334,6
Denis Villeneuve,7.666666666666667,3
Miloš Forman,7.633333333333333,3
Frank Capra,7.62,5
Quentin Tarantino,7.55,10
Frank Darabont,7.5,4
Elia Kazan,7.466666666666666,3
David Lean,7.45,4
Peter Weir,7.45,4
Richard Brooks,7.433333333333334,3
Fred Zinnemann,7.425,4
Wes Anderson,7.414285714285714,7
Dean DeBlois,7.3999999999999995,3
Martin Scorsese,7.38125,16
David Lynch,7.375,4
Joss Whedon,7.366666666666667,3
David Fincher,7.340000000000001,10
Peter Jackson,7.333333333333333,9
James Cameron,7.328571428571428,7
Alfonso Cuarón,7.3,5
Jean-Marc Vallée,7.3,3
Jonathan Demme,7.3,3
Mel Gibson,7.3,3
Alejandro González Iñárritu,7.279999999999999,5
Gina Prince-Bythewood,7.266666666666667,3
Francis Ford Coppola,7.25,10
Spike Jonze,7.225,4
Paul Thomas Anderson,7.216666666666666,6
Lars von Trier,7.166666666666667,3
Michael Moore,7.159999999999999,5
Sidney Lumet,7.140000000000001,5
Chris Sanders,7.133333333333333,3
Stephen Daldry,7.125,4
Edgar Wright,7.12,5
Fernando Meirelles,7.1000000000000005,3
John Musker,7.1000000000000005,3
Peter Sollett,7.1000000000000005,3
Ron Clements,7.1000000000000005,3
Brad Bird,7.1,5
Andrew Stanton,7.074999999999999,4
Matthew Vaughn,7.074999999999999,4
George Sidney,7.066666666666666,3
Alfred Hitchcock,7.05,8
Jean-Jacques Annaud,7.05,4
James Wan,7.033333333333334,6
Roman Polanski,7.033333333333334,6
Victor Fleming,7.033333333333334,3
Danny Boyle,7.0125,8
Richard Linklater,7.01,10
Darren Aronofsky,7.0,6
Nick Cassavetes,7.0,4
Duncan Jones,7.0,3
James Algar,7.0,3
Norman Jewison,7.0,3
Lasse Hallström,6.9875,8
J.J. Abrams,6.975,4
Sam Peckinpah,6.975,4
Steven Spielberg,6.974074074074075,27
David Hand,6.966666666666666,3
Sofia Coppola,6.966666666666666,3
George Lucas,6.959999999999999,5
Baz Luhrmann,6.925,4
Christopher Miller,6.925,4
Phil Lord,6.925,4
Mel Brooks,6.92,5
Gus Van Sant,6.916666666666667,6
Robert Zemeckis,6.915384615384616,13
Sam Mendes,6.914285714285714,7
Alexander Payne,6.9,5
Robert Wise,6.9,4
Anthony Minghella,6.8999999999999995,3
Don Bluth,6.8999999999999995,3
Kevin Costner,6.8999999999999995,3
Michael Curtiz,6.8999999999999995,3
Paul Haggis,6.8999999999999995,3
Woody Allen,6.883333333333333,12
Paul Greengrass,6.883333333333333,6
Joel Coen,6.859999999999999,10
Clint Eastwood,6.8578947368421055,19
Edward Zwick,6.857142857142857,7
Guy Ritchie,6.857142857142857,7
Ang Lee,6.8428571428571425,7
Francis Lawrence,6.840000000000001,5
John Lasseter,6.840000000000001,5
David Cronenberg,6.833333333333333,6
Boaz Yakin,6.833333333333333,3
Pierre Coffin,6.833333333333333,3
John Ford,6.825,4
Joe Wright,6.82,5
Mike Newell,6.82,5
Ethan Coen,6.814285714285715,7
Spike Lee,6.811111111111111,9
Doug Liman,6.8,7
Andrew Niccol,6.8,4
Jean-Pierre Jeunet,6.8,4
Albert Hughes,6.8,3
Alex Kendrick,6.8,3
"George Tillman, Jr.",6.8,3
Matt Reeves,6.8,3
Terry Gilliam,6.783333333333334,6
Neil Jordan,6.779999999999999,5
John McTiernan,6.775,8
David Yates,6.766666666666667,3
Jeff Nichols,6.766666666666667,3
Neill Blomkamp,6.766666666666667,3
Marc Forster,6.757142857142857,7
Andrew Adamson,6.75,4
Rick Famuyiwa,6.75,4
Tom Tykwer,6.74,5
Alan Parker,6.733333333333333,3
Gary Ross,6.733333333333333,3
Marc Webb,6.733333333333333,3
Shekhar Kapur,6.733333333333333,3
Rob Reiner,6.7299999999999995,10
Tim Burton,6.728571428571429,14
Chris Columbus,6.722222222222222,9
David O. Russell,6.7,6
Guillermo del Toro,6.7,5
John Lee Hancock,6.7,4
Terence Young,6.7,4
Anthony Russo,6.7,3
Glenn Ficarra,6.7,3
Joe Russo,6.7,3
John Requa,6.7,3
Taylor Hackford,6.7,3
Terrence Malick,6.7,3
Ridley Scott,6.69375,16
James Mangold,6.683333333333334,6
Antoine Fuqua,6.675,8
F. Gary Gray,6.675,8
Ron Howard,6.672727272727273,11
William Friedkin,6.666666666666667,6
Bruce Beresford,6.666666666666667,3
Chris Renaud,6.666666666666667,3
Kathryn Bigelow,6.666666666666667,3
John Landis,6.659999999999999,5
Bryan Singer,6.65,8
Brad Anderson,6.65,4
Greg Mottola,6.633333333333333,3
Jonathan Lynn,6.633333333333333,3
Mark Dindal,6.633333333333333,3
Mike Nichols,6.633333333333333,3
Thomas Carter,6.633333333333333,3
Stephen Frears,6.625,8
Jason Reitman,6.62,5
Michael Mann,6.616666666666667,6
Christopher McQuarrie,6.6000000000000005,3
J.C. Chandor,6.6000000000000005,3
Michel Gondry,6.6000000000000005,3
Justin Lin,6.599999999999999,3
Oliver Stone,6.584615384615384,13
Jon Favreau,6.583333333333333,6
Nicolas Winding Refn,6.575,4
Wolfgang Petersen,6.571428571428571,7
Paul McGuigan,6.566666666666666,3
Sam Raimi,6.5625,8
John Dahl,6.55,4
James Ivory,6.533333333333334,3
Joe Carnahan,6.533333333333334,3
Jonathan Levine,6.533333333333334,3
Scott Cooper,6.533333333333334,3
John Carpenter,6.533333333333333,9
Gore Verbinski,6.528571428571429,7
John Singleton,6.528571428571429,7
Allen Hughes,6.525,4
Brian De Palma,6.5249999999999995,12
Gavin O'Connor,6.5200000000000005,5
Guy Hamilton,6.5200000000000005,5
Tony Scott,6.516666666666667,12
George A. Romero,6.5,5
Craig Gillespie,6.5,4
Penny Marshall,6.5,4
Chris Wedge,6.5,3
John Hillcoat,6.5,3
Randal Kleiser,6.5,3
Randall Wallace,6.5,3
Lana Wachowski,6.485714285714286,7
Lilly Wachowski,6.485714285714286,7
Zack Snyder,6.485714285714286,7
Alex Proyas,6.4799999999999995,5
Gary Fleder,6.4799999999999995,5
Nancy Meyers,6.4799999999999995,5
Gavin Hood,6.475,4
Jerry Zucker,6.475,4
Tom McGrath,6.475,4
Adam McKay,6.466666666666666,6
Baltasar Kormákur,6.466666666666666,3
Len Wiseman,6.466666666666666,3
Mike Judge,6.466666666666666,3
D.J. Caruso,6.45,4
David Ayer,6.433333333333334,6
Hugh Wilson,6.433333333333334,3
James Gray,6.433333333333334,3
Scott Hicks,6.433333333333334,3
Warren Beatty,6.433333333333334,3
Richard Donner,6.43,10
Iain Softley,6.425,4
James McTeigue,6.425,4
Tim Johnson,6.425,4
Luc Besson,6.42,5
Richard LaGravenese,6.42,5
Barry Levinson,6.4,9
Sydney Pollack,6.4,5
Frank Oz,6.4,4
Tobe Hooper,6.4,4
Michael Bay,6.3999999999999995,12
Cameron Crowe,6.3999999999999995,6
Louis Leterrier,6.3999999999999995,6
James Bobin,6.3999999999999995,3
Kenneth Branagh,6.3999999999999995,3
Rawson Marshall Thurber,6.3999999999999995,3
Will Gluck,6.3999999999999995,3
Wong Kar-wai,6.3999999999999995,3
Peter Berg,6.366666666666667,6
Brad Furman,6.366666666666667,3
David Dobkin,6.366666666666667,3
Kimberly Peirce,6.366666666666667,3
Richard Lester,6.366666666666667,3
Carlos Saldanha,6.36,5
John Madden,6.36,5
David Twohy,6.35,4
Eric Darnell,6.34,5
Kevin Reynolds,6.34,5
Jaume Collet-Serra,6.333333333333333,6
Curtis Hanson,6.333333333333333,3
Lewis Gilbert,6.333333333333333,3
Nicholas Hytner,6.333333333333333,3
Roger Michell,6.333333333333333,3
Ruben Fleischer,6.333333333333333,3
David Frankel,6.325,4
Pierre Morel,6.325,4
Brian Helgeland,6.32,5
Steven Soderbergh,6.3,14
Phillip Noyce,6.3,7
Paul Verhoeven,6.3,5
Bill Condon,6.3,4
Robert Redford,6.3,4
Walter Salles,6.3,4
James Gunn,6.3,3
Jim Sheridan,6.3,3
Kevin Smith,6.290909090909091,11
Chris Weitz,6.279999999999999,5
George Clooney,6.279999999999999,5
Catherine Hardwicke,6.275,4
Mikael Håfström,6.275,4
Jon Turteltaub,6.266666666666667,6
David Slade,6.266666666666667,3
Gregory Hoblit,6.266666666666667,3
Joe Johnston,6.266666666666667,3
George Miller,6.2625,8
Michael Apted,6.26,5
Rob Marshall,6.26,5
Joe Dante,6.25,6
Rob Minkoff,6.233333333333333,6
Charles Martin Smith,6.233333333333333,3
James DeMonaco,6.233333333333333,3
Olivier Megaton,6.233333333333333,3
Barry Sonnenfeld,6.228571428571429,7
Burr Steers,6.225,4
Jeff Tremaine,6.225,4
Harold Ramis,6.2,7
John Woo,6.2,6
Roger Donaldson,6.2,6
Peyton Reed,6.2,4
Stephen Herek,6.2,4
King Vidor,6.2,3
Adrian Lyne,6.199999999999999,4
Martin Campbell,6.185714285714285,7
Todd Phillips,6.185714285714285,7
Joel Schumacher,6.183333333333334,12
Tim Story,6.183333333333334,6
Conrad Vernon,6.175,4
Angelina Jolie,6.166666666666667,3
Jane Campion,6.166666666666667,3
Peter Cattaneo,6.166666666666667,3
Sam Fell,6.166666666666667,3
Frank Marshall,6.15,4
Mira Nair,6.15,4
Robert Schwentke,6.1499999999999995,6
Tom Shadyac,6.142857142857143,7
David Koepp,6.125,4
Jonathan Mostow,6.125,4
Richard Fleischer,6.125,4
John Glen,6.12,5
Mark Waters,6.116666666666667,6
Jay Roach,6.114285714285714,7
Darren Lynn Bousman,6.1000000000000005,3
Jeff Wadlow,6.1000000000000005,3
Paul Feig,6.1000000000000005,3
Richard Kelly,6.1000000000000005,3
David Bowers,6.1,4
Martin Brest,6.1,4
Ken Kwapis,6.075,4
Garry Marshall,6.071428571428571,7
Ariel Schulman,6.066666666666666,3
Davis Guggenheim,6.066666666666666,3
Frank Miller,6.066666666666666,3
Henry Joost,6.066666666666666,3
Nimród Antal,6.066666666666666,3
Roger Spottiswoode,6.066666666666666,3
Scott Derrickson,6.066666666666666,3
Tony Gilroy,6.066666666666666,3
Tyler Perry,6.066666666666666,3
Anne Fletcher,6.0600000000000005,5
Brad Silberling,6.05,4
Adam Shankman,6.0375,8
Ivan Reitman,6.033333333333334,6
Simon Wells,6.033333333333334,3
Vicky Jenson,6.033333333333334,3
Shawn Levy,6.029999999999999,10
Wes Craven,6.027272727272727,11
John Erick Dowdle,6.025,4
Andy Tennant,6.0200000000000005,5
Roland Emmerich,6.0125,8
Ben Stiller,6.0,5
Jon M. Chu,6.0,5
Chuck Russell,6.0,4
Seth Gordon,6.0,4
Andrew Davis,6.0,3
John Stockwell,6.0,3
Mark L. Lester,6.0,3
Michael Ritchie,6.0,3
Peter Howitt,5.975,4
Peter Segal,5.966666666666666,6
Robert Luketic,5.966666666666666,6
James L. Brooks,5.966666666666666,3
James Wong,5.966666666666666,3
Jesse Dylan,5.966666666666666,3
Jon Amiel,5.966666666666666,3
Nicholas Stoller,5.96,5
John Boorman,5.933333333333334,3
Judd Apatow,5.92,5
Brett Ratner,5.9125,8
Robert Rodriguez,5.911764705882353,17
M. Night Shyamalan,5.9,9
